id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
323,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,05 - 09,LAKI-LAKI,48106,JIWA,2020
325,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10 - 14,LAKI-LAKI,48875,JIWA,2020
321,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,00 - 04,LAKI-LAKI,40582,JIWA,2020
327,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15 - 19,LAKI-LAKI,48889,JIWA,2020
329,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20 - 24,LAKI-LAKI,47005,JIWA,2020
331,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25 - 29,LAKI-LAKI,46235,JIWA,2020
333,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,LAKI-LAKI,39333,JIWA,2020
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,LAKI-LAKI,42514,JIWA,2020
337,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40 - 44,LAKI-LAKI,40004,JIWA,2020
339,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45 - 49,LAKI-LAKI,37285,JIWA,2020
341,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50 - 54,LAKI-LAKI,36776,JIWA,2020
343,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55 - 59,LAKI-LAKI,32245,JIWA,2020
345,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60 - 64,LAKI-LAKI,27131,JIWA,2020
347,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65 - 69,LAKI-LAKI,20938,JIWA,2020
349,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70 - 74,LAKI-LAKI,12737,JIWA,2020
351,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,75+,LAKI-LAKI,16115,JIWA,2020
324,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,05 - 09,PEREMPUAN,45194,JIWA,2020
326,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10 - 14,PEREMPUAN,45841,JIWA,2020
322,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,00 - 04,PEREMPUAN,37477,JIWA,2020
328,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15 - 19,PEREMPUAN,46917,JIWA,2020
330,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20 - 24,PEREMPUAN,44606,JIWA,2020
332,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25 - 29,PEREMPUAN,43703,JIWA,2020
334,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,PEREMPUAN,38178,JIWA,2020
336,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,PEREMPUAN,41818,JIWA,2020
338,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40 - 44,PEREMPUAN,40773,JIWA,2020
340,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45 - 49,PEREMPUAN,39457,JIWA,2020
342,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50 - 54,PEREMPUAN,37965,JIWA,2020
344,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55 - 59,PEREMPUAN,33416,JIWA,2020
346,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60 - 64,PEREMPUAN,27740,JIWA,2020
348,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65 - 69,PEREMPUAN,20297,JIWA,2020
350,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70 - 74,PEREMPUAN,13541,JIWA,2020
352,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,75+,PEREMPUAN,17761,JIWA,2020
1187,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,05 - 09,LAKI-LAKI,48113,JIWA,2021
1189,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10 - 14,LAKI-LAKI,49334,JIWA,2021
